ind,S1,S1_conf,ST,ST_conf
Growth_drivers,0.043284,0.015707,0.053526,0.005629
Mitigation_challenges,0.037021,0.015757,0.053713,0.004730
Transport_activity,0.010671,0.007720,0.011493,0.001442
Transport_structure,0.001026,0.002283,0.000747,0.000159
Transport_intensity,0.001247,0.004015,0.003042,0.000386
Transport_fuel,0.000546,0.002079,0.000695,0.000157
Modal_scenario,0.033310,0.014544,0.046926,0.006160
Road_costs,0.086146,0.022177,0.086204,0.007179
Rail_costs,0.030875,0.016173,0.071696,0.008386
Road_target,0.000389,0.000375,0.000038,0.000030
Rail_target,0.668873,0.057229,0.726596,0.060831
Delay,0.021788,0.012152,0.045829,0.004913
